행정구역,동읍면,성별,총인구,한국인,외국인
북구,동천동,여자,"13,331","13,266",65
북구,국우동,계,"30,386","30,257",129
북구,국우동,남자,"14,997","14,957",40
북구,국우동,여자,"15,389","15,300",89
수성구,소계,계,"410,800","409,107","1,693"
수성구,소계,남자,"197,517","196,815",702
수성구,소계,여자,"213,283","212,292",991
수성구,범어1동,계,"21,069","21,005",64
수성구,범어1동,남자,"10,065","10,037",28
수성구,범어1동,여자,"11,004","10,968",36
수성구,범어2동,계,"14,374","14,264",110
수성구,범어2동,남자,"6,852","6,798",54
수성구,범어2동,여자,"7,522","7,466",56
수성구,범어3동,계,"17,540","17,449",91
수성구,범어3동,남자,"8,423","8,385",38
수성구,범어3동,여자,"9,117","9,064",53
수성구,범어4동,계,"18,993","18,956",37
수성구,범어4동,남자,"9,367","9,349",18
수성구,범어4동,여자,"9,626","9,607",19
수성구,만촌1동,계,"20,783","20,714",69
수성구,만촌1동,남자,"10,072","10,050",22
수성구,만촌1동,여자,"10,711","10,664",47
수성구,만촌2동,계,"11,076","10,996",80
수성구,만촌2동,남자,"5,516","5,484",32
수성구,만촌2동,여자,"5,560","5,512",48
수성구,만촌3동,계,"21,321","21,182",139
수성구,만촌3동,남자,"11,086","11,014",72
수성구,만촌3동,여자,"10,235","10,168",67
수성구,수성1가동,계,"16,992","16,954",38
수성구,수성1가동,남자,"7,673","7,659",14
수성구,수성1가동,여자,"9,319","9,295",24
수성구,수성2·3가동,계,"10,471","10,421",50
수성구,수성2·3가동,남자,"5,095","5,073",22
수성구,수성2·3가동,여자,"5,376","5,348",28
수성구,수성4가동,계,"13,401","13,357",44
수성구,수성4가동,남자,"6,166","6,146",20
수성구,수성4가동,여자,"7,235","7,211",24
수성구,황금1동,계,"21,938","21,904",34
수성구,황금1동,남자,"10,505","10,487",18
수성구,황금1동,여자,"11,433","11,417",16
수성구,황금2동,계,"11,341","11,255",86
수성구,황금2동,남자,"5,367","5,340",27
수성구,황금2동,여자,"5,974","5,915",59
수성구,중동,계,"14,637","14,536",101
수성구,중동,남자,"7,188","7,149",39
수성구,중동,여자,"7,449","7,387",62
수성구,상동,계,"14,613","14,464",149
수성구,상동,남자,"7,072","7,009",63
수성구,상동,여자,"7,541","7,455",86
수성구,파동,계,"15,381","15,332",49
수성구,파동,남자,"7,332","7,314",18
수성구,파동,여자,"8,049","8,018",31
수성구,두산동,계,"14,920","14,766",154
수성구,두산동,남자,"7,210","7,143",67
수성구,두산동,여자,"7,710","7,623",87
수성구,지산1동,계,"19,388","19,290",98
수성구,지산1동,남자,"9,186","9,154",32
수성구,지산1동,여자,"10,202","10,136",66
수성구,지산2동,계,"18,745","18,699",46
수성구,지산2동,남자,"8,723","8,709",14
수성구,지산2동,여자,"10,022","9,990",32
수성구,범물1동,계,"10,073","10,046",27
수성구,범물1동,남자,"4,538","4,526",12
수성구,범물1동,여자,"5,535","5,520",15
수성구,범물2동,계,"15,878","15,854",24
수성구,범물2동,남자,"7,626","7,617",9
수성구,범물2동,여자,"8,252","8,237",15
수성구,고산1동,계,"31,415","31,343",72
수성구,고산1동,남자,"15,153","15,121",32
수성구,고산1동,여자,"16,262","16,222",40
수성구,고산2동,계,"26,343","26,274",69
수성구,고산2동,남자,"12,930","12,902",28
수성구,고산2동,여자,"13,413","13,372",41
수성구,고산3동,계,"30,108","30,046",62
수성구,고산3동,남자,"14,372","14,349",23
수성구,고산3동,여자,"15,736","15,697",39
달서구,소계,계,"534,782","522,021","12,761"
달서구,소계,남자,"262,914","255,813","7,101"
달서구,소계,여자,"271,868","266,208","5,660"
달서구,성당동,계,"21,191","21,059",132
달서구,성당동,남자,"10,253","10,196",57
달서구,성당동,여자,"10,938","10,863",75
달서구,두류1·2동,계,"14,420","14,288",132
달서구,두류1·2동,남자,"7,035","6,996",39
달서구,두류1·2동,여자,"7,385","7,292",93
달서구,두류3동,계,"8,588","8,521",67
달서구,두류3동,남자,"4,116","4,095",21
달서구,두류3동,여자,"4,472","4,426",46
달서구,본리동,계,"22,916","22,508",408
달서구,본리동,남자,"11,301","11,077",224
달서구,본리동,여자,"11,615","11,431",184
달서구,감삼동,계,"30,763","30,613",150
달서구,감삼동,남자,"14,999","14,940",59
달서구,감삼동,여자,"15,764","15,673",91
달서구,죽전동,계,"14,521","14,363",158
달서구,죽전동,남자,"7,134","7,063",71
달서구,죽전동,여자,"7,387","7,300",87
달서구,장기동,계,"16,152","15,640",512
달서구,장기동,남자,"8,003","7,615",388
달서구,장기동,여자,"8,149","8,025",124
달서구,용산1동,계,"29,170","28,942",228
달서구,용산1동,남자,"14,557","14,465",92
달서구,용산1동,여자,"14,613","14,477",136
달서구,용산2동,계,"25,930","25,664",266
달서구,용산2동,남자,"12,947","12,806",141
달서구,용산2동,여자,"12,983","12,858",125
달서구,이곡1동,계,"21,151","20,485",666
달서구,이곡1동,남자,"10,670","10,212",458
달서구,이곡1동,여자,"10,481","10,273",208
달서구,이곡2동,계,"15,336","14,699",637
달서구,이곡2동,남자,"7,838","7,412",426
달서구,이곡2동,여자,"7,498","7,287",211
달서구,신당동,계,"35,044","28,624","6,420"
달서구,신당동,남자,"17,654","14,437","3,217"
달서구,신당동,여자,"17,390","14,187","3,203"
달서구,월성1동,계,"40,220","40,125",95
달서구,월성1동,남자,"19,692","19,646",46
달서구,월성1동,여자,"20,528","20,479",49
달서구,월성2동,계,"15,064","14,015","1,049"
달서구,월성2동,남자,"7,559","6,595",964
달서구,월성2동,여자,"7,505","7,420",85
달서구,진천동,계,"50,066","49,729",337
달서구,진천동,남자,"24,419","24,280",139
달서구,진천동,여자,"25,647","25,449",198
달서구,유천동,계,"33,324","33,246",78
달서구,유천동,남자,"16,442","16,407",35
달서구,유천동,여자,"16,882","16,839",43
달서구,상인1동,계,"33,202","33,111",91
달서구,상인2동,남자,"16,060","16,028",32
달서구,상인3동,여자,"17,142","17,083",59
달서구,상인2동,계,"17,686","17,546",140
달서구,상인3동,남자,"8,668","8,618",50
달서구,상인4동,여자,"9,018","8,928",90
달서구,상인3동,계,"9,966","9,913",53
달서구,상인4동,남자,"4,716","4,697",19
달서구,상인5동,여자,"5,250","5,216",34
달서구,도원동,계,"32,233","32,154",79
달서구,도원동,남자,"15,387","15,363",24
달서구,도원동,여자,"16,846","16,791",55
달서구,송현1동,계,"16,941","16,601",340
달서구,송현2동,남자,"8,481","8,287",194
달서구,송현3동,여자,"8,460","8,314",146
달서구,송현2동,계,"18,801","18,351",450
달서구,송현3동,남자,"8,990","8,746",244
달서구,송현4동,여자,"9,811","9,605",206
달서구,본동,계,"12,097","11,824",273
달서구,본동,남자,"5,993","5,832",161
달서구,본동,여자,"6,104","5,992",112
달성군,소계,계,"264,979","257,580","7,399"
달성군,소계,남자,"135,545","130,613","4,932"
달성군,소계,여자,"129,434","126,967","2,467"
달성군,화원읍,계,"46,559","46,090",469
달성군,화원읍,남자,"23,016","22,778",238
달성군,화원읍,여자,"23,543","23,312",231
달성군,논공읍,계,"18,309","15,618","2,691"
달성군,논공읍,남자,"10,253","8,397","1,856"
달성군,논공읍,여자,"8,056","7,221",835
달성군,다사읍,계,"91,478","90,537",941
