행정구,읍면동,총 인구(명),외국인 인구(명),면적(㎢),외국인 인구밀도,외국인 인구밀도_norm
달성군,가창면,7077,33,111.33,0.3,0.00011701709385707066
달성군,하빈면,3435,146,38.2,3.82,0.0017646177753646256
달성군,구지면,20794,1773,39.84,44.5,0.020805639287787163
군위군,군위읍,8112,309,84.07,3.68,0.0016990882028046661
군위군,소보면,2303,39,101.35,0.38,0.0001544625638913333
군위군,효령면,3821,164,98.43,1.67,0.0007582707681938179
군위군,부계면,2082,6,64.81,0.09,1.8722735017131304e-05
군위군,우보면,1931,14,59.83,0.23,8.425230757709089e-05
군위군,의흥면,2296,39,54.26,0.72,0.00031360581153694935
군위군,산성면,1199,5,36.99,0.14,4.212615378854545e-05
군위군,삼국유사면,1301,6,114.6,0.05,0.0
