행정구,읍면동,인구(명),면적(㎢),인구밀도,어린이수,고령자수,어린이_인구밀도,어린이 인구밀도_norm,고령자_인구밀도,고령자 인구밀도_norm
북구,구암동,14233,3.0,4744.33,3202,4635,1067.33,0.16652441146134844,1545.0,0.19398569812733987
북구,관음동,25186,5.71,4410.86,982,3507,171.98,0.026815236234663354,614.19,0.07661375234381997
북구,읍내동,25208,1.12,22507.14,2000,4924,1785.71,0.27861943273721385,4396.43,0.5535412329470155
북구,동천동,11139,3.05,3652.13,2837,3142,930.16,0.14512059444471317,1030.16,0.1290661414324318
북구,국우동,29741,17.19,1730.13,3804,3608,221.29,0.034509500411161756,209.89,0.02563291019528575
수성구,범어1동,21318,1.08,19738.89,3679,2806,3406.48,0.5315221410994794,2598.15,0.3267842979510569
수성구,범어2동,14194,1.13,12561.06,1638,2509,1449.56,0.2261670518219849,2220.35,0.27914501483526116
수성구,범어3동,17304,0.58,29834.48,3154,1896,5437.93,0.8485067884600083,3268.97,0.4113723972092308
수성구,범어4동,18660,1.08,17277.78,3811,2064,3528.7,0.5505931808003846,1911.11,0.2401509123717125
수성구,만촌1동,20639,2.88,7166.32,2300,4666,798.61,0.1245937144524527,1620.14,0.20346059419224433
수성구,만촌2동,12897,1.62,7961.11,1002,2254,618.52,0.09649272001835013,1391.36,0.17461222153149325
수성구,만촌3동,21283,1.78,11956.74,3569,2518,2005.06,0.312846503252625,1414.61,0.17754396672059394
수성구,수성1가동,17161,0.58,29587.93,1947,3919,3356.9,0.5237857464965431,6756.9,0.8511883970982658
수성구,수성2·3가동,10356,0.65,15932.31,1388,2056,2135.38,0.3331814557466682,3163.08,0.39802003170067707
수성구,수성4가동,13186,0.63,20930.16,1004,3274,1593.65,0.24865065606436282,5196.83,0.6544689253924441
수성구,황금1동,21595,2.69,8027.88,3413,3418,1268.77,0.1979568303563766,1270.63,0.15938858296460598
수성구,황금2동,11307,1.16,9747.41,1165,2358,1004.31,0.15669085785350156,2032.76,0.2554905597804911
수성구,중동,14454,0.91,15883.52,1865,2595,2049.45,0.3197730574362543,2851.65,0.3587497777548002
수성구,상동,14226,1.33,10696.24,1066,3912,801.5,0.12504466605395503,2941.35,0.3700606398392017
수성구,파동,15860,5.82,2725.09,1684,3719,289.35,0.045129488645850084,639.0,0.07974220817786679
수성구,두산동,14770,1.97,7497.46,1510,2430,766.5,0.11958331447866719,1233.5,0.15470661742175393
수성구,지산1동,18979,2.64,7189.02,1087,5375,411.74,0.06422705491154951,2035.98,0.2558965907271107
수성구,지산2동,18486,1.97,9383.76,1608,4563,816.24,0.1273446752602334,2316.24,0.2912364146710834
수성구,범물1동,9956,5.44,1830.15,411,4086,75.55,0.011768432451663138,751.1,0.09387763336918681
