col_1,행정동,등록인구,여성비율,외국인비율,고령자비율,치안기관,유흥업소 수,초등학교 수,"중,고등학교 수",가로등 수,보안등 수,어린이용 CCTV 수,생활방범 CCTV 수,기타 CCTV 수,시설물 CCTV 수,쓰레기단속 CCTV 수,안전비상벨 수,요리 주점,입시·교과학원,범죄발생수(유동인구기준),최저_위도,최저_경도,최저_고도
북구,복현1동,7921,0.449943189,0.057063502,0.135336447,2.564102564,143.5897436,2.564102564,2.564102564,317.9487179,205.1282051,30.76923077,128.2051282,0.0,15.38461538,7.692307692,0.0,79.48717949,7.692307692,63.10678332,35.88879134177774,128.61316180135267,35.0
북구,복현2동,31481,0.505161844,0.01407198,0.141164512,0.0,0.537634409,1.075268817,1.075268817,125.2688172,89.24731183,14.51612903,21.50537634,0.0,16.66666667,3.76344086,0.537634409,4.301075269,11.29032258,250.8098278,35.88962685554622,128.61506420764752,25.0
북구,대현동,17602,0.493523463,0.031246449,0.223213271,0.0,12.29508197,0.819672131,0.819672131,251.6393443,45.08196721,9.836065574,36.06557377,0.0,3.278688525,4.098360656,0.0,22.13114754,5.737704918,140.2355258,35.876599996042145,128.60204209600434,35.0
북구,검단동,6432,0.496424129,0.026585821,0.269589552,0.0,0.0,0.0,0.0,39.89501312,39.63254593,1.312335958,11.54855643,0.0,0.524934383,1.312335958,0.0,1.049868766,0.524934383,51.24388717,35.90592286330548,128.60683304218114,25.0
북구,무태조야동,36020,0.491338145,0.005607996,0.142365353,0.043010753,0.043010753,0.172043011,0.172043011,71.44086022,34.53763441,2.365591398,8.258064516,0.0,0.774193548,0.172043011,0.086021505,1.075268817,1.849462366,286.9721418,35.903677416533604,128.56831712070965,20.0
북구,관문동,36007,0.503902019,0.004026995,0.135751382,0.0683527,0.2734108,0.3417635,0.3417635,94.80519481,44.15584416,1.845522898,8.544087491,0.0,0.683526999,0.2050581,0.1367054,0.888585099,1.982228298,286.8685705,35.88762955655913,128.50414624397732,20.0
북구,태전1동,22265,0.500022457,0.012620705,0.173096789,0.0,0.37037037,0.740740741,0.740740741,211.1111111,194.0740741,8.888888889,30.0,0.740740741,2.592592593,1.481481481,0.740740741,12.22222222,0.740740741,177.3857506,35.91364622608396,128.5294467858622,25.0
북구,태전2동,24244,0.512250454,0.009775615,0.168495298,0.584795322,3.50877193,1.169590643,1.169590643,246.1988304,165.497076,18.71345029,27.48538012,0.0,2.923976608,5.263157895,1.169590643,14.61988304,6.432748538,193.1524877,35.90756590835676,128.54292982850194,25.0
북구,구암동,34320,0.511538462,0.003030303,0.119638695,0.22675737,2.721088435,0.680272109,0.680272109,167.8004535,141.723356,9.523809524,12.01814059,0.0,0.680272109,0.680272109,1.587301587,9.523809524,4.761904762,273.4282039,35.91821225022199,128.5506269283273,30.0
북구,관음동,16043,0.49610422,0.005360593,0.198341956,0.0,1.0,0.666666667,0.666666667,102.3333333,128.0,7.333333333,21.33333333,0.0,8.333333333,0.666666667,1.666666667,7.666666667,1.666666667,127.8149381,35.93287182344052,128.53260879373462,35.0
