일시,구군,추정_일강수량(mm)
2016-01-29,남구,13.317072566131154
2016-01-29,달서구,13.384794050812836
2016-01-29,달성군,12.503208097490248
2016-01-29,동구,14.213031351167068
2016-01-29,북구,11.703058479624069
2016-01-29,서구,12.845413482301044
2016-01-29,수성구,13.900589574775939
2016-01-29,중구,13.51583301801588
2016-01-30,군위군,0.04867992588529889
2016-01-30,남구,0.010921471855026973
2016-01-30,달서구,0.009592834848199502
2016-01-30,달성군,0.21686305041280926
2016-01-30,동구,0.001119547568748523
2016-01-30,북구,0.0003218343474095618
2016-01-30,서구,0.005597743471732813
2016-01-30,수성구,0.004125102201005694
2016-01-30,중구,0.003229154807059845
2016-01-31,군위군,0.0
2016-01-31,남구,0.0
2016-01-31,달서구,0.0
2016-01-31,달성군,0.0
2016-01-31,동구,0.0
2016-01-31,북구,0.0
2016-01-31,서구,0.0
2016-01-31,수성구,0.0
2016-01-31,중구,0.0
2016-02-01,군위군,0.0
2016-02-01,남구,0.0
2016-02-01,달서구,0.0
2016-02-01,달성군,0.0
2016-02-01,동구,0.0
2016-02-01,북구,0.0
2016-02-01,서구,0.0
2016-02-01,수성구,0.0
2016-02-01,중구,0.0
2016-02-02,군위군,0.0
2016-02-02,남구,0.0
2016-02-02,달서구,0.0
2016-02-02,달성군,0.0
2016-02-02,동구,0.0
2016-02-02,북구,0.0
2016-02-02,서구,0.0
2016-02-02,수성구,0.0
2016-02-02,중구,0.0
2016-02-03,군위군,0.0
2016-02-03,남구,0.0
2016-02-03,달서구,0.0
2016-02-03,달성군,0.0
2016-02-03,동구,0.0
2016-02-03,북구,0.0
2016-02-03,서구,0.0
2016-02-03,수성구,0.0
2016-02-03,중구,0.0
2016-02-04,군위군,0.0
2016-02-04,남구,0.0
2016-02-04,달서구,0.0
2016-02-04,달성군,0.0
2016-02-04,동구,0.0
2016-02-04,북구,0.0
2016-02-04,서구,0.0
2016-02-04,수성구,0.0
2016-02-04,중구,0.0
2016-02-05,군위군,0.0
2016-02-05,남구,0.0
2016-02-05,달서구,0.0
2016-02-05,달성군,0.0
2016-02-05,동구,0.0
2016-02-05,북구,0.0
2016-02-05,서구,0.0
2016-02-05,수성구,0.0
2016-02-05,중구,0.0
2016-02-06,군위군,0.0
2016-02-06,남구,0.0
2016-02-06,달서구,0.0
2016-02-06,달성군,0.0
2016-02-06,동구,0.0
2016-02-06,북구,0.0
2016-02-06,서구,0.0
2016-02-06,수성구,0.0
2016-02-06,중구,0.0
2016-02-07,군위군,0.0
2016-02-07,남구,0.0
2016-02-07,달서구,0.0
2016-02-07,달성군,0.0
2016-02-07,동구,0.0
2016-02-07,북구,0.0
2016-02-07,서구,0.0
2016-02-07,수성구,0.0
2016-02-07,중구,0.0
2016-02-08,군위군,0.0
2016-02-08,남구,0.0
2016-02-08,달서구,0.0
2016-02-08,달성군,0.0
2016-02-08,동구,0.0
2016-02-08,북구,0.0
2016-02-08,서구,0.0
